DATE,BAMLCC0A0CMTRIV
1973-02-01,100.00
1973-03-01,100.46
1973-04-01,100.46
1973-05-01,100.46
1973-06-01,100.51
1973-07-01,100.51
1973-08-01,100.51
1973-09-01,102.22
1973-10-01,102.22
1973-11-01,102.22
1973-12-01,102.00
1974-01-01,102.00
1974-02-01,102.00
1974-03-01,99.65
1974-04-01,99.65
1974-05-01,99.65
1974-06-01,94.48
1974-07-01,94.48
1974-08-01,94.48
1974-09-01,91.79
1974-10-01,91.79
1974-11-01,91.79
1974-12-01,97.16
1975-01-01,97.16
1975-02-01,97.16
1975-03-01,102.37
1975-04-01,102.37
1975-05-01,102.37
1975-06-01,105.81
1975-07-01,105.81
1975-08-01,105.81
1975-09-01,104.08
1975-10-01,104.08
1975-11-01,104.08
1975-12-01,112.42
1976-01-01,115.09
1976-02-01,116.35
1976-03-01,118.67
1976-04-01,118.61
1976-05-01,117.82
1976-06-01,119.65
1976-07-01,121.20
1976-08-01,123.74
1976-09-01,125.82
1976-10-01,127.08
1976-11-01,130.38
1976-12-01,133.56
1977-01-01,131.01
1977-02-01,131.09
1977-03-01,132.25
1977-04-01,133.77
1977-05-01,135.01
1977-06-01,136.96
1977-07-01,137.42
1977-08-01,139.21
1977-09-01,139.07
1977-10-01,138.52
1977-11-01,139.55
1977-12-01,138.64
1978-01-01,138.05
1978-02-01,138.39
1978-03-01,139.11
1978-04-01,139.09
1978-05-01,138.07
1978-06-01,138.40
1978-07-01,139.99
1978-08-01,142.71
1978-09-01,142.42
1978-10-01,139.83
1978-11-01,141.41
1978-12-01,139.11
1979-01-01,142.17
1979-02-01,140.97
1979-03-01,142.24
1979-04-01,141.78
1979-05-01,144.41
1979-06-01,147.58
1979-07-01,147.81
1979-08-01,148.04
1979-09-01,145.10
1979-10-01,134.96
1979-11-01,137.09
1979-12-01,136.04
1980-01-01,131.15
1980-02-01,121.51
1980-03-01,121.37
1980-04-01,135.90
1980-05-01,143.17
1980-06-01,147.13
1980-07-01,143.45
1980-08-01,136.73
1980-09-01,134.26
1980-10-01,133.28
1980-11-01,133.94
1980-12-01,136.77
1981-01-01,135.46
1981-02-01,132.53
1981-03-01,135.63
1981-04-01,129.01
1981-05-01,134.44
1981-06-01,134.98
1981-07-01,131.59
1981-08-01,127.73
1981-09-01,125.77
1981-10-01,132.12
1981-11-01,147.00
1981-12-01,139.91
